cap;A00;B99;1;Algumas doenças infecciosas e parasitárias
cap;C00;D48;2;Neoplasias [tumores]
cap;D50;D89;3;Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários
cap;E00;E90;4;Doenças endócrinas, nutricionais e metabólicas
cap;F00;F99;5;Transtornos mentais e comportamentais
cap;G00;G99;6;Doenças do sistema nervoso
cap;H00;H59;7;Doenças do olho e anexos
cap;H60;H95;8;Doenças do ouvido e da apófise mastóide
cap;I00;I99;9;Doenças do aparelho circulatório
cap;J00;J99;10;Doenças do aparelho respiratório
cap;K00;K93;11;Doenças do aparelho digestivo
cap;L00;L99;12;Doenças da pele e do tecido subcutâneo
cap;M00;M99;13;Doenças do sistema osteomuscular e do tecido conjuntivo
cap;N00;N99;14;Doenças do aparelho geniturinário
cap;O00;O99;15;Gravidez, parto e puerpério
cap;P00;P96;16;Algumas afecções originadas no período perinatal
cap;Q00;Q99;17;Malformações congênitas, deformidades e anomalias cromossômicas
cap;R00;R99;18;Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte
cap;S00;T98;19;Lesões, envenenamento e algumas outras conseqüências de causas externas
cap;V01;Y98;20;Causas externas de morbidade e de mortalidade
cap;Z00;Z99;21;Fatores que influenciam o estado de saúde e o contato com os serviços de saúde
cap;U04;U99;22;Códigos para propósitos especiais
grp;A00;A09;1;Doenças infecciosas intestinais
grp;A15;A19;2;Tuberculose
grp;A20;A28;3;Algumas doenças bacterianas zoonóticas
grp;A30;A49;4;Outras doenças bacterianas
grp;A50;A64;5;Infecções de transmissão predominantemente sexual
grp;A65;A69;6;Outras doenças por espiroquetas
grp;A70;A74;7;Outras doenças causadas por clamídias
grp;A75;A79;8;Rickettsioses
grp;A80;A89;9;Infecções virais do sistema nervoso central
grp;A90;A99;10;Febres por arbovírus e febres hemorrágicas virais
grp;B00;B09;11;Infecções virais caracterizadas por lesões de pele e mucosas
grp;B15;B19;12;Hepatite viral
grp;B20;B24;13;Doença pelo vírus da imunodeficiência humana [HIV]
grp;B25;B34;14;Outras doenças por vírus
grp;B35;B49;15;Micoses
grp;B50;B64;16;Doenças devidas a protozoários
grp;B65;B83;17;Helmintíases
grp;B85;B89;18;Pediculose, acaríase e outras infestações
grp;B90;B94;19;Seqüelas de doenças infecciosas e parasitárias
grp;B95;B97;20;Agentes de infecções bacterianas, virais e outros agentes infecciosos
grp;B99;B99;21;Outras doenças infecciosas
grp;C00;C97;22;Neoplasias [tumores] malignas(os)
grp;C00;C75;23;Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos
grp;C00;C14;24;Neoplasias malignas do lábio, cavidade oral e faringe
grp;C15;C26;25;Neoplasias malignas dos órgãos digestivos
grp;C30;C39;26;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos
grp;C40;C41;27;Neoplasias malignas dos ossos e das cartilagens articulares
grp;C43;C44;28;Melanoma e outras(os) neoplasias malignas da pele
grp;C45;C49;29;Neoplasias malignas do tecido mesotelial e tecidos moles
grp;C50;C50;30;Neoplasias malignas da mama
grp;C51;C58;31;Neoplasias malignas dos órgãos genitais femininos
grp;C60;C63;32;Neoplasias malignas dos órgãos genitais masculinos
grp;C64;C68;33;Neoplasias malignas do trato urinário
grp;C69;C72;34;Neoplasias malignas dos olhos, do encéfalo e de outras partes do sistema nervoso central
grp;C73;C75;35;Neoplasias malignas da tireóide e de outras glândulas endócrinas
grp;C76;C80;36;Neoplasias malignas de localizações mal definidas, secundárias e de localizações não especificadas
grp;C81;C96;37;Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, dos tecidos linfático, hematopoético e tecidos correlatos
grp;C97;C97;38;Neoplasias malignas de localizações múltiplas independentes (primárias)
grp;D00;D09;39;Neoplasias [tumores] in situ
grp;D10;D36;40;Neoplasias [tumores] benignas(os)
grp;D37;D48;41;Neoplasias [tumores] de comportamento incerto ou desconhecido
grp;D50;D53;42;Anemias nutricionais
grp;D55;D59;43;Anemias hemolíticas
grp;D60;D64;44;Anemias aplásticas e outras anemias
grp;D65;D69;45;Defeitos da coagulação, púrpura e outras afecções hemorrágicas
grp;D70;D77;46;Outras doenças do sangue e dos órgãos hematopoéticos
grp;D80;D89;47;Alguns transtornos que comprometem o mecanismo imunitário
grp;E00;E07;48;Transtornos da glândula tireóide
grp;E10;E14;49;Diabetes mellitus
grp;E15;E16;50;Outros transtornos da regulação da glicose e da secreção pancreática interna
grp;E20;E35;51;Transtornos de outras glândulas endócrinas
grp;E40;E46;52;Desnutrição
grp;E50;E64;53;Outras deficiências nutricionais
grp;E65;E68;54;Obesidade e outras formas de hiperalimentação
grp;E70;E90;55;Distúrbios metabólicos
grp;F00;F09;56;Transtornos mentais orgânicos, inclusive os sintomáticos
grp;F10;F19;57;Transtornos mentais e comportamentais devidos ao uso de substância psicoativa
grp;F20;F29;58;Esquizofrenia, transtornos esquizotípicos e transtornos delirantes
grp;F30;F39;59;Transtornos do humor [afetivos]
grp;F40;F48;60;Transtornos neuróticos, transtornos relacionados com o "stress" e transtornos somatoformes
grp;F50;F59;61;Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos
grp;F60;F69;62;Transtornos da personalidade e do comportamento do adulto
grp;F70;F79;63;Retardo mental
grp;F80;F89;64;Transtornos do desenvolvimento psicológico
grp;F90;F98;65;Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência
grp;F99;F99;66;Transtorno mental não especificado
grp;G00;G09;67;Doenças inflamatórias do sistema nervoso central
grp;G10;G13;68;Atrofias sistêmicas que afetam principalmente o sistema nervoso central
grp;G20;G26;69;Doenças extrapiramidais e transtornos dos movimentos
grp;G30;G32;70;Outras doenças degenerativas do sistema nervoso
grp;G35;G37;71;Doenças desmielinizantes do sistema nervoso central
grp;G40;G47;72;Transtornos episódicos e paroxísticos
grp;G50;G59;73;Transtornos dos nervos, das raízes e dos plexos nervosos
grp;G60;G64;74;Polineuropatias e outros transtornos do sistema nervoso periférico
grp;G70;G73;75;Doenças da junção mioneural e dos músculos
grp;G80;G83;76;Paralisia cerebral e outras síndromes paralíticas
grp;G90;G99;77;Outros transtornos do sistema nervoso
grp;H00;H06;78;Transtornos da pálpebra, do aparelho lacrimal e da órbita
grp;H10;H13;79;Transtornos da conjuntiva
grp;H15;H22;80;Transtornos da esclerótica, da córnea, da íris e do corpo ciliar
grp;H25;H28;81;Transtornos do cristalino
grp;H30;H36;82;Transtornos da coróide e da retina
grp;H40;H42;83;Glaucoma
grp;H43;H45;84;Transtornos do humor vítreo e do globo ocular
grp;H46;H48;85;Transtornos do nervo óptico e das vias ópticas
grp;H49;H52;86;Transtornos dos músculos oculares, do movimento binocular, da acomodação e da refração
grp;H53;H54;87;Transtornos visuais e cegueira
grp;H55;H59;88;Outros transtornos do olho e anexos
grp;H60;H62;89;Doenças do ouvido externo
grp;H65;H75;90;Doenças do ouvido médio e da mastóide
grp;H80;H83;91;Doenças do ouvido interno
grp;H90;H95;92;Outros transtornos do ouvido
grp;I00;I02;93;Febre reumática aguda
grp;I05;I09;94;Doenças reumáticas crônicas do coração
grp;I10;I15;95;Doenças hipertensivas
grp;I20;I25;96;Doenças isquêmicas do coração
grp;I26;I28;97;Doenças cardíaca pulmonar e da circulação pulmonar
grp;I30;I52;98;Outras formas de doença do coração
grp;I60;I69;99;Doenças cerebrovasculares
grp;I70;I79;100;Doenças das artérias, das arteríolas e dos capilares
grp;I80;I89;101;Doenças das veias, dos vasos linfáticos e dos gânglios linfáticos, não classificadas em outra parte
grp;I95;I99;102;Outros transtornos, e os não especificados do aparelho circulatório
grp;J00;J06;103;Infecções agudas das vias aéreas superiores
grp;J09;J18;104;Influenza [gripe] e pneumonia
grp;J20;J22;105;Outras infecções agudas das vias aéreas inferiores
grp;J30;J39;106;Outras doenças das vias aéreas superiores
grp;J40;J47;107;Doenças crônicas das vias aéreas inferiores
grp;J60;J70;108;Doenças pulmonares devidas a agentes externos
grp;J80;J84;109;Outras doenças respiratórias que afetam principalmente o interstício
grp;J85;J86;110;Afecções necróticas e supurativas das vias aéreas inferiores
grp;J90;J94;111;Outras doenças da pleura
grp;J95;J99;112;Outras doenças do aparelho respiratório
grp;K00;K14;113;Doenças da cavidade oral, das glândulas salivares e dos maxilares
grp;K20;K31;114;Doenças do esôfago, do estômago e do duodeno
grp;K35;K38;115;Doenças do apêndice
grp;K40;K46;116;Hérnias
grp;K50;K52;117;Enterites e colites não-infecciosas
grp;K55;K63;118;Outras doenças dos intestinos
grp;K65;K67;119;Doenças do peritônio
grp;K70;K77;120;Doenças do fígado
grp;K80;K87;121;Transtornos da vesícula biliar, das vias biliares e do pâncreas
grp;K90;K93;122;Outras doenças do aparelho digestivo
grp;L00;L08;123;Infecções da pele e do tecido subcutâneo
grp;L10;L14;124;Afecções bolhosas
grp;L20;L30;125;Dermatite e eczema
grp;L40;L45;126;Afecções pápulo-descamativas
grp;L50;L54;127;Urticária e eritema
grp;L55;L59;128;Transtornos da pele e do tecido subcutâneo relacionados com a radiação
grp;L60;L75;129;Afecções dos anexos da pele
grp;L80;L99;130;Outras afecções da pele e do tecido subcutâneo
grp;M00;M25;131;Artropatias
grp;M00;M03;132;Artropatias infecciosas
grp;M05;M14;133;Poliartropatias inflamatórias
grp;M15;M19;134;Artroses
grp;M20;M25;135;Outros transtornos articulares
grp;M30;M36;136;Doenças sistêmicas do tecido conjuntivo
grp;M40;M54;137;Dorsopatias
grp;M40;M43;138;Dorsopatias deformantes
grp;M45;M49;139;Espondilopatias
grp;M50;M54;140;Outras dorsopatias
grp;M60;M79;141;Transtornos dos tecidos moles
grp;M60;M63;142;Transtornos musculares
grp;M65;M68;143;Transtornos das sinóvias e dos tendões
grp;M70;M79;144;Outros transtornos dos tecidos moles
grp;M80;M94;145;Osteopatias e condropatias
grp;M80;M85;146;Transtornos da densidade e da estrutura óssea
grp;M86;M90;147;Outras osteopatias
grp;M91;M94;148;Condropatias
grp;M95;M99;149;Outros transtornos do sistema osteomuscular e do tecido conjuntivo
grp;N00;N08;150;Doenças glomerulares
grp;N10;N16;151;Doenças renais túbulo-intersticiais
grp;N17;N19;152;Insuficiência renal
grp;N20;N23;153;Calculose renal
grp;N25;N29;154;Outros transtornos do rim e do ureter
grp;N30;N39;155;Outras doenças do aparelho urinário
grp;N40;N51;156;Doenças dos órgãos genitais masculinos
grp;N60;N64;157;Doenças da mama
grp;N70;N77;158;Doenças inflamatórias dos órgãos pélvicos femininos
grp;N80;N98;159;Transtornos não-inflamatórios do trato genital feminino
grp;N99;N99;160;Outros transtornos do aparelho geniturinário
grp;O00;O08;161;Gravidez que termina em aborto
grp;O10;O16;162;Edema, proteinúria e transtornos hipertensivos na gravidez, no parto e no puerpério
grp;O20;O29;163;Outros transtornos maternos relacionados predominantemente com a gravidez
grp;O30;O48;164;Assistência prestada à mãe por motivos ligados ao feto e à cavidade amniótica e por possíveis problemas relativos ao parto
grp;O60;O75;165;Complicações do trabalho de parto e do parto
grp;O80;O84;166;Parto
grp;O85;O92;167;Complicações relacionadas predominantemente com o puerpério
grp;O94;O99;168;Outras afecções obstétricas não classificadas em outra parte
grp;P00;P04;169;Feto e recém-nascido afetados por fatores maternos e por complicações da gravidez, do trabalho de parto e do parto
grp;P05;P08;170;Transtornos relacionados com a duração da gestação e com o crescimento fetal
grp;P10;P15;171;Traumatismo de parto
grp;P20;P29;172;Transtornos respiratórios e cardiovasculares específicos do período perinatal
grp;P35;P39;173;Infecções específicas do período perinatal
grp;P50;P61;174;Transtornos hemorrágicos e hematológicos do feto e do recém-nascido
grp;P70;P74;175;Transtornos endócrinos e metabólicos transitórios específicos do feto e do recém-nascido
grp;P75;P78;176;Transtornos do aparelho digestivo do feto ou do recém-nascido
grp;P80;P83;177;Afecções comprometendo o tegumento e a regulação térmica do feto e do recém-nascido
grp;P90;P96;178;Outros transtornos originados no período perinatal
grp;Q00;Q07;179;Malformações congênitas do sistema nervoso
grp;Q10;Q18;180;Malformações congênitas do olho, do ouvido, da face e do pescoço
grp;Q20;Q28;181;Malformações congênitas do aparelho circulatório
grp;Q30;Q34;182;Malformações congênitas do aparelho respiratório
grp;Q35;Q37;183;Fenda labial e fenda palatina
grp;Q38;Q45;184;Outras malformações congênitas do aparelho digestivo
grp;Q50;Q56;185;Malformações congênitas dos órgãos genitais
grp;Q60;Q64;186;Malformações congênitas do aparelho urinário
grp;Q65;Q79;187;Malformações e deformidades congênitas do sistema osteomuscular
grp;Q80;Q89;188;Outras malformações congênitas
grp;Q90;Q99;189;Anomalias cromossômicas não classificadas em outra parte
grp;R00;R09;190;Sintomas e sinais relativos ao aparelho circulatório e respiratório
grp;R10;R19;191;Sintomas e sinais relativos ao aparelho digestivo e ao abdome
grp;R20;R23;192;Sintomas e sinais relativos à pele e ao tecido subcutâneo
grp;R25;R29;193;Sintomas e sinais relativos aos sistemas nervoso e osteomuscular
grp;R30;R39;194;Sintomas e sinais relativos ao aparelho urinário
grp;R40;R46;195;Sintomas e sinais relativos à cognição, à percepção, ao estado emocional e ao comportamento
grp;R47;R49;196;Sintomas e sinais relativos à fala e à voz
grp;R50;R69;197;Sintomas e sinais gerais
grp;R70;R79;198;Achados anormais de exames de sangue, sem diagnóstico
grp;R80;R82;199;Achados anormais de exames de urina, sem diagnóstico
grp;R83;R89;200;Achados anormais de exames e de outros líquidos, substâncias e tecidos do corpo, sem diagnóstico
grp;R90;R94;201;Achados anormais de exames para diagnóstico por imagem e em estudos de função, sem diagnóstico
grp;R95;R99;202;Causas mal definidas e desconhecidas de mortalidade
grp;S00;S09;203;Traumatismos da cabeça
grp;S10;S19;204;Traumatismos do pescoço
grp;S20;S29;205;Traumatismos do tórax
grp;S30;S39;206;Traumatismos do abdome, do dorso, da coluna lombar e da pelve
grp;S40;S49;207;Traumatismos do ombro e do braço
grp;S50;S59;208;Traumatismos do cotovelo e do antebraço
grp;S60;S69;209;Traumatismos do punho e da mão
grp;S70;S79;210;Traumatismos do quadril e da coxa
grp;S80;S89;211;Traumatismos do joelho e da perna
grp;S90;S99;212;Traumatismos do tornozelo e do pé
grp;T00;T07;213;Traumatismos envolvendo múltiplas regiões do corpo
grp;T08;T14;214;Traumatismos de localização não especificada do tronco, membro ou outra região do corpo
grp;T15;T19;215;Efeito da penetração de corpo estranho através de orifício natural
grp;T20;T32;216;Queimaduras e corrosões
grp;T20;T25;217;Queimaduras e corrosões da superfície externa do corpo, especificadas por local
grp;T26;T28;218;Queimaduras e corrosões limitadas ao olho e aos órgãos internos
grp;T29;T32;219;Queimaduras e corrosões de múltiplas regiões e de regiões não especificadas do corpo
grp;T33;T35;220;Geladuras [frostbite]
grp;T36;T50;221;Intoxicação por drogas, medicamentos e substâncias biológicas
grp;T51;T65;222;Efeitos tóxicos de substâncias de origem predominantemente não-medicinal
grp;T66;T78;223;Outros efeitos de causas externas e os não especificados
grp;T79;T79;224;Algumas complicações precoces de traumatismos
grp;T80;T88;225;Complicações de cuidados médicos e cirúrgicos, não classificados em outra parte
grp;T90;T98;226;Seqüelas de traumatismos, de intoxicações e de outras conseqüências das causas externas
grp;V01;X59;227;Acidentes
grp;V01;V99;228;Acidentes de transporte
grp;V01;V09;229;Pedestre traumatizado em um acidente de transporte
grp;V10;V19;230;Ciclista traumatizado em um acidente de transporte
grp;V20;V29;231;Motociclista traumatizado em um acidente de transporte
