cap;A00;B99;Capítulo I - Algumas doenças infecciosas e parasitárias
cap;C00;D48;Capítulo II - Neoplasias [tumores]
cap;D50;D89;Capítulo III  - Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários
cap;E00;E90;Capítulo IV - Doenças endócrinas, nutricionais e metabólicas
cap;F00;F99;Capítulo V - Transtornos mentais e comportamentais
cap;G00;G99;Capítulo VI - Doenças do sistema nervoso
cap;H00;H59;Capítulo VII - Doenças do olho e anexos
cap;H60;H95;Capítulo VIII - Doenças do ouvido e da apófise mastóide
cap;I00;I99;Capítulo IX - Doenças do aparelho circulatório
cap;J00;J99;Capítulo X - Doenças do aparelho respiratório
cap;K00;K93;Capítulo XI - Doenças do aparelho digestivo
cap;L00;L99;Capítulo XII - Doenças da pele e do tecido subcutâneo
cap;M00;M99;Capítulo XIII - Doenças do sistema osteomuscular e do tecido conjuntivo
cap;N00;N99;Capítulo XIV - Doenças do aparelho geniturinário
cap;O00;O99;Capítulo XV - Gravidez, parto e puerpério
cap;P00;P96;Capítulo XVI - Algumas afecções originadas no período perinatal
cap;Q00;Q99;Capítulo XVII - Malformações congênitas, deformidades e anomalias cromossômicas
cap;R00;R99;Capítulo XVIII - Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte
cap;S00;T98;Capítulo XIX - Lesões, envenenamento e algumas outras conseqüências de causas externas
cap;V01;Y98;Capítulo XX - Causas externas de morbidade e de mortalidade
cap;Z00;Z99;Capítulo XXI - Fatores que influenciam o estado de saúde e o contato com os serviços de saúde
cap;U04;U99;Capítulo XXII - Códigos para propósitos especiais
grp;A00;A09;Doenças infecciosas intestinais
grp;A15;A19;Tuberculose
grp;A20;A28;Algumas doenças bacterianas zoonóticas
grp;A30;A49;Outras doenças bacterianas
grp;A50;A64;Infecções de transmissão predominantemente sexual
grp;A65;A69;Outras doenças por espiroquetas
grp;A70;A74;Outras doenças causadas por clamídias
grp;A75;A79;Rickettsioses
grp;A80;A89;Infecções virais do sistema nervoso central
grp;A90;A99;Febres por arbovírus e febres hemorrágicas virais
grp;B00;B09;Infecções virais caracterizadas por lesões de pele e mucosas
grp;B15;B19;Hepatite viral
grp;B20;B24;Doença pelo vírus da imunodeficiência humana [HIV]
grp;B25;B34;Outras doenças por vírus
grp;B35;B49;Micoses
grp;B50;B64;Doenças devidas a protozoários
grp;B65;B83;Helmintíases
grp;B85;B89;Pediculose, acaríase e outras infestações
grp;B90;B94;Seqüelas de doenças infecciosas e parasitárias
grp;B95;B97;Agentes de infecções bacterianas, virais e outros agentes infecciosos
grp;B99;B99;Outras doenças infecciosas
grp;C00;C97;Neoplasias [tumores] malignas(os)
grp;C00;C75;Neoplasias [tumores] malignas(os), declaradas ou presumidas como primárias, de localizações especificadas, exceto dos tecidos linfático, hematopoético e tecidos correlatos
grp;C00;C14;Neoplasias malignas do lábio, cavidade oral e faringe
grp;C15;C26;Neoplasias malignas dos órgãos digestivos
grp;C30;C39;Neoplasias malignas do aparelho respiratório e dos órgãos intratorácicos
grp;C40;C41;Neoplasias malignas dos ossos e das cartilagens articulares
grp;C43;C44;Melanoma e outras(os) neoplasias malignas da pele
